,Station,Station Code,Line,Distance From Previous of the Line,Time taken From Previous of the Line
126,Chembur,CMBR,Harbour,1.0,2.0
127,Govandi,GV,Harbour,3.0,3.0
128,Mankhurd,MNKD,Harbour,3.0,3.0
129,Vashi,VSH,Harbour,8.0,8.0
130,Sanpada,SNCR,Harbour,3.0,3.0
131,Juinagar,JNJ,Harbour,5.0,5.0
132,Nerul,NEU,Harbour,3.0,3.0
133,Seawood Darave,SWDV,Harbour,3.0,3.0
134,Belapur CBD,BEPR,Harbour,4.0,4.0
135,Kharghar,KHAG,Harbour,4.0,4.0
136,Mansarovar,MANR,Harbour,3.0,3.0
137,Khandeshwar,KNDS,Harbour,3.0,3.0
138,Panvel,PNVL,Harbour,3.0,3.0
139,Thane,TNA,Trans Harbour,0.0,0.0
140,Airoli,AIRL,Trans Harbour,8.0,8.0
141,Rabale,RABE,Trans Harbour,3.0,3.0
142,Ghansoli,GNSL,Trans Harbour,3.0,3.0
143,Koparkhairane,KPHN,Trans Harbour,3.0,3.0
144,Turbhe,TUH,Trans Harbour,4.0,4.0
145,Juinagar,JNJ,Trans Harbour,5.0,5.0
146,Nerul,NEU,Trans Harbour,3.0,3.0
147,Seawood Darave,SWDV,Trans Harbour,3.0,3.0
148,Belapur CBD,BEPR,Trans Harbour,4.0,4.0
149,Kharghar,KHAG,Trans Harbour,4.0,4.0
150,Mansarovar,MANR,Trans Harbour,3.0,3.0
151,Khandeshwar,KNDS,Trans Harbour,3.0,3.0
152,Panvel,PNVL,Trans Harbour,3.0,3.0
153,Nerul,NEU,Uran,0.0,0.0
154,Seawood Darave,SWDV,Uran,3.0,3.0
155,Belapur CBD,BEPR,Uran,4.0,4.0
156,Bamandongri,BMNDG,Uran,9.0,12.0
157,Kharkopar,KARP,Uran,3.0,4.0
158,Diva Jn,DIVA,Diva-Roha,0.0,0.0
159,Dativali,DTVL,Diva-Roha,2.0,5.0
160,Nilje,NIIJ,Diva-Roha,4.0,11.0
161,Taloja Panchanand,TPND,Diva-Roha,6.0,9.0
162,Navade Road,NVRD,Diva-Roha,4.0,7.0
163,Kalamboli,KLMG,Diva-Roha,2.0,3.0
164,Panvel,PNVL,Diva-Roha,4.0,16.0
165,Somtane,SMNE,Diva-Roha,7.0,10.0
166,Rasayani,RSYI,Diva-Roha,6.0,7.0
167,Apta,APTA,Diva-Roha,4.0,9.0
168,Jite,JITE,Diva-Roha,10.0,5.0
169,Hamarapur,HPUR,Diva-Roha,5.0,14.0
170,Pen,PEN,Diva-Roha,6.0,6.0
171,Kasu,KASU,Diva-Roha,13.0,14.0
172,Nagothane,NGTN,Diva-Roha,14.0,14.0
173,Nidi,NIDI,Diva-Roha,5.0,10.0
174,Roha,ROHA,Diva-Roha,10.0,20.0
175,Dahanu Road,DRD,Dahanu-Virar-Panvel,0.0,0.0
176,Vangaon,VGN,Dahanu-Virar-Panvel,9.0,9.0
