,Station Name,Latitude,Longitude,Station Code,Line,Sequence,Distance From Previous,Time From Previous,System
263,Jogeshwari (Western Line),19.1361144,72.848936,JOS,Western,17,2.0,3.0,Mumbai Local Train
264,Ram Mandir,19.151023,72.8501467,RMAR,Western,18,2.0,3.0,Mumbai Local Train
265,Goregaon,19.1648688,72.8495492,GMN,Western,19,3.0,2.0,Mumbai Local Train
266,Malad,19.1867193,72.8485884,MDD,Western,20,2.0,4.0,Mumbai Local Train
267,Kandivali,19.2041136,72.8517376,KLE,Western,21,1.0,3.0,Mumbai Local Train
268,Borivali,19.229068,72.8573628,BO/BVI,Western,22,3.0,6.0,Mumbai Local Train
269,Dahisar,19.2493572,72.8596302,DIC,Western,23,2.0,5.0,Mumbai Local Train
270,Mira Road,19.2816975,72.8560676,MIRA,Western,24,3.0,5.0,Mumbai Local Train
271,Bhayandar,19.3101847,72.8526988,BY,Western,25,3.0,5.0,Mumbai Local Train
272,Naigaon,19.3510925,72.8465229,NIG,Western,26,6.0,6.0,Mumbai Local Train
273,Vasai Road,19.3826676,72.8320245,BSR/BS,Western,27,4.0,5.0,Mumbai Local Train
274,Nalla Sopara,19.4178997,72.8185693,NSP,Western,28,4.0,5.0,Mumbai Local Train
275,Virar,19.4553059,72.811816,VR,Western,29,4.0,6.0,Mumbai Local Train
276,Andheri (West),19.1291337,72.8314307,,Yellow Line (Line 2A),1,0.0,0.0,Mumbai Metro
277,Lower Oshiwara,19.1406979,72.8317139,,Yellow Line (Line 2A),2,1.5,3.0,Mumbai Metro
278,Oshiwara,19.1460351,72.833952,,Yellow Line (Line 2A),3,1.0,2.0,Mumbai Metro
279,Goregaon (West),19.1530241,72.8356664,,Yellow Line (Line 2A),4,1.5,3.0,Mumbai Metro
280,Bangur Nagar,19.1624723,72.8348708,,Yellow Line (Line 2A),5,1.0,2.0,Mumbai Metro
281,Lower Malad,19.1730984,72.8364801,,Yellow Line (Line 2A),6,1.0,2.0,Mumbai Metro
282,Malad (West),19.1852851,72.8358611,,Yellow Line (Line 2A),7,1.5,3.0,Mumbai Metro
283,Valnai Meeth,19.1968293,72.8337752,,Yellow Line (Line 2A),8,1.0,2.0,Mumbai Metro
284,Dahanukarwadi,19.2062315,72.8348068,,Yellow Line (Line 2A),9,1.0,2.0,Mumbai Metro
285,Kandivali (West),19.2140036,72.8373054,,Yellow Line (Line 2A),10,1.0,2.0,Mumbai Metro
286,Shimpoli,19.2228332,72.8409432,,Yellow Line (Line 2A),11,1.0,2.0,Mumbai Metro
287,Borivali (West),19.2313925,72.8408607,,Yellow Line (Line 2A),12,1.0,2.0,Mumbai Metro
288,Eksar,19.2403773,72.8434456,,Yellow Line (Line 2A),13,1.0,2.0,Mumbai Metro
289,Mandapeshwar,19.2495856,72.8458001,,Yellow Line (Line 2A),14,1.0,2.0,Mumbai Metro
290,Kandarpada,19.2566337,72.850504,,Yellow Line (Line 2A),15,1.0,2.0,Mumbai Metro
291,Anand Nagar,19.2572087,72.8663486,,Yellow Line (Line 2A),16,1.0,2.0,Mumbai Metro
292,Dahisar (East),19.2517331,72.8673322,,Yellow Line (Line 2A),17,1.5,3.0,Mumbai Metro
